word,remarks
abandon,…を捨て去る
absorb,…を吸収する
absorb,…を没頭させる
accomplish,…を成し遂げる
accompany,…に付き添う
accuse,…を非難［告発］する
adapt,…を適合［適応］させる
admire,…をすばらしいと思う …を賞賛する (polite)
admit,…を認める
adopt,…を自分のものにする
advertise,…を宣伝する …を［広告］する
afford,…の余裕がある
aim,ねらいをつける 目的
alter,…を変える
annoy,…をいらだたせる
appeal,訴える
arise,起こる
arise,生じる
arrange,（…を）計画する （…を）準備する
associate,…を結びつけて考える
attach,…を貼り付ける …を取り付ける
attend,…に出席する
attract,…を引きつける
behave,振る舞う
bind,…を縛りつける
block,…を妨げる
blow,（…を）吹く／打撃
borrow,…を借りる
breathe,呼吸をする
collect,…を集める …を徴収する
combine,…を結合させる
command,…に［を］命じる／行使する力
compete,競争する
complain,不満を言う
compose,…を構成する ＜曲や詩＞を作る
concentrate,集中する
conclude,締めくくる …という結論を下す
confuse,…を混乱させる
connect,…をつなげる
considerable,かなりの
consist,成り立つ 存在する
construct,…を組み立てる …を建造する
contribute,寄付する 貢献する
convey,…を伝える，…を運ぶ
convince,…に納得させる
cope,対処する
criticize,…を批判する
decision,決定 決心
declare,…を宣言する
decrease,減少する／減少
defeat,…を負かす
defend,…を守る
deny,…を否定する
derive,…を引き出す
devote,＜時間・努力＞を注ぐ
disappoint,…をがっかりさせる
discuss,…について議論する
dislike,…を嫌がる／嫌悪
display,…を展示する／展示
distinguish,…を区別する
disturb,…の平穏を妨げる
divide,…を分割する
educate,…を教育する
emerge,現れる
emphasize,…を強調する
employ,…を雇う
enable,…に可能にさせる
encounter,…に遭遇する
entertain,…を楽しませる
estimate,…を推定する …を見積もる／推定
examine,…を検査する，…を調べる
expand,…を拡大する
explore,…を探索［探検］する
export,…を輸出する／輸出
expose,…を明らかにする …をさらす
extend,延びる …を拡張する
fix,…を固定する …を修理する
frighten,…をおびえさせる …を怖がらせる
govern,…を統治する
graduate,卒業する
greet,…にあいさつをする
handle,…を手で扱う …にうまく対処する
hang,…をつるす …を絞首刑にする
hate,…をひどく嫌う
hesitate,ためらう
hire,…を雇う
identify,…を見分ける
ignore,…を無視する
imply,…をほのめかす
import,…を輸入する／輸入
impress,…に感銘を与える
inform,…に知らせる
intend,意図する つもりである
interpret,…を解釈する 通訳する
isolate,…を孤立させる
judge,…を判断する／ 審判員 裁判官
notice,…に気づく／ 注意 掲示
obtain,…を手に入れる
occupy,…を占める，…を占領する
oppose,…に反対する
organize,…を組織する
overcome,…を克服する
participate,参加する
pause,話［行動］を中断する／ 間（ま） 小休止
perceive,…を知覚する
permit,…を許可する
persuade,説得する
possess,…を所有する
praise,…をほめる
predict,…を予想する，…を予測する
preserve,…を保存［保護］する
pretend,…のふりをする
promote,…を促進する
propose,…を提案する
punish,…を罰する
purchase,…を購入する／購入
pursue,…を追い求める
quit,（…を）やめる
react,反応する
recommend,…を薦める
recover,回復する
reject,…を拒絶する
release,…を解き放つ
rely,頼る 信頼する
remind,…に思い出させる
remove,…を取り除く
repair,…を修理する
replace,…に取って代わる
reserve,…を取っておく …を予約する
respond,反応する 返答する
retire,退職する 引退する
roll,転がる
rush,突進する ダッシュする
select,…を選び出す
settle,…を決着させる 落ち着く
sink,沈む
smell,…な臭いがする …の臭いをかぐ
stare,…をじっと見つめる
stimulate,…を刺激する
stretch,広がる／ 広がり
suit,…に適合する／ 訴訟
surround,…を取り囲む
suspect,…を疑う …ではないかと思う／ 容疑者
tear,…を引き裂く／ 涙
threaten,…を脅かす
transfer,…を移す
transform,…を変える
translate,…を翻訳する
transport,…を輸送する／ 輸送
vote,投票する／ 投票
warn,…に警告する
account,説明 口座／ 説明する 占める
addition,付加 追加
address,住所 演説／ …の前で演説をする
advice,助言
affair,事柄 出来事
agent,代理人 代理店
agreement,同意 一致
agriculture,農業
alternative,代替となるもの／ 代替の
ancestor,祖先
anger,怒り
anxiety,心配 不安
appearance,出現 外見
assumption,想定 思いこみ
association,協会 組合
author,著者 作家
authority,権威
automobile,自動車
background,背景 経歴
capacity,最大容量［積載量・稼働力］ 能力
capital,資本 資本金 首都／ 大文字の
career,(生涯にわたる）職業
characteristic,特徴
charge,非難 料金 管理／ …に請求する
circumstance,（周囲の）状況
citizen,市民
climate,気候
conclusion,結論
condition,状態 条件
conduct,行為／ …を行う
conference,会議
confidence,自信 信頼
conflict,対立 争い
consequence,結果
consumption,消費
continent,大陸
contrast,対照
contribution,寄付 貢献
conversation,会話
cooperation,協力
copy,（本・雑誌などの）一冊／ …をまねる
creation,創造 創造物
crime,犯罪
crisis,危機
criticism,批判
crop,収穫物
curiosity,好奇心
custom,（社会的な）習慣 慣習
debate,討論
debt,借金 負債
decade,１０年
definition,定義
delight,喜び
democracy,民主主義
desert,砂漠／ …を立ち去る
destruction,破壊
device,装置 仕掛け
diet,（日常の）食事 ダイエット
disaster,災害
discipline,しつけ 規律
discussion,議論
distinction,区別 違い
district,地域 地区
drug,麻薬 薬
element,要素
employee,従業員
enemy,敵
entertainment,娯楽
error,ミス 間違い
evolution,進化 進展
excuse,言い訳／ …勘弁する
expert,専門家
explanation,説明
extent,程度
faith,信頼 信仰
fate,運命
fault,欠点 過失 せい
favor,親切な行為
flight,飛行 （飛行機の）便
focus,焦点／ …を集中する
fuel,燃料
function,機能／ 機能する
genius,天才
goal,目標 目的
grammar,文法
grant,給付金／ …を与える
guide,案内人 案内書／ …を案内する
harm,害／ …を害する
height,高さ
household,（一つ屋根の下で暮らす）家族家
humanity,人間 人間性
ideal,理想／ 理想の
imagination,想像
immigrant,移民
impact,影響 衝撃
impression,印象
income,所得
independence,独立 自立
instruction,指示 指導
intelligence,知能 諜報
item,項目
journey,旅
joy,喜び
judgement,判断
laboratory,実験室
landscape,風景
laughter,笑い
leisure,余暇
lesson,授業 教訓
luck,運 幸運
manager,部長 支配人 監督
manner,やり方 方法
master,主人 達人／ …を習得する
match,試合／ …と調和する
matter,事柄／ 重要である
merchant,商人
murder,(故意の）殺人／ …を（故意に）殺す
necessity,必要 必要なもの
neighborhood,近所
notion,考え 考え方
novel,小説／ 新奇な △（Not really used）
observation,観察
occasion,（特定の）時 場合
occupation,職業
operation,操作 運転 手術
organization,組織 団体
origin,起源
pain,痛み
passage,（文章の）一節 通路
passenger,乗客
personality,人格 性格 （芸能界などの）有名人
phenomenon,現象
philosopher,哲学者
philosophy,哲学
physics,物理学
plenty,たくさん
politician,政治家
politics,政治
popularity,人気
presence,存在
profit,利益
project,計画 事業
proof,証拠
property,財産 所有地
proportion,比率 割合
proverb,ことわざ
psychologist,心理学者
quantity,量
reaction,反応
region,地域，地方
religion,宗教
remark,ことば 感想／ …だと述べる
reputation,評判
revolution,革命
reward,褒美 報償／ …に褒美［報償］を与える
row,列／ …をこぐ
security,安心 安全 治安
self,自己 自我
shift,変化／ …を変える
shortage,不足
sight,見ること 視力
significance,重要性 意義
skin,皮膚 皮膜
soil,土 土壌
soldier,兵士
solution,解決（法）
statement,話 陳述 声明
status,社会的地位
stock,株 在庫／ …を在庫に持つ
strength,力 強さ
substance,物質
sum,金額 合計
survey,調査
survival,生存
talent,才能
theme,テーマ
thought,考えること 考え
threat,脅威
tongue,言葉 舌
tradition,伝統
treatment,扱い 処置 治療
tribe,部族
trust,信頼 信用／ …を信頼［信用］する
union,統合
vehicle,乗り物 伝達手段
victim,犠牲者
violence,暴力
virus,ウイルス
vision,未来像 ビジョン
vocabulary,語い
wealth,富 財産
wisdom,知恵
witness,目撃者 証人／ …を目撃する
youth,若さ 青年期 青少年
accurate,正確な
actual,現実の 実際の
alike,よく似た
anxious,心配して 切望する
appropriate,適当な 適切な
asleep,眠っている
attractive,魅力的な
awake,目を覚ましている
biological,生物学上の
bored,退屈した
brief,短い
capable,可能性がある しかねない 有能な
chemical,化学の／ 化学製品
civilized,発達した文明をもつ
comfortable,心地の良い
complicated,複雑な
conscious,意識して 気づいて
constant,絶え間ない
contemporary,現在の 現代の 同時代の
contrary,反対の
convenient,都合がよい
creative,創造的な
critical,極めて重要な 非常に深刻な
curious,好奇心が強い
current,現在の 目下の／ 流れ
dependent,依存している
distant,遠く離れた
domestic,国内の 家庭内の
dramatic,劇的な
dull,面白みのない 鈍い
eager,強く望んでいる
educational,教育の 教育的な
effective,効果的な
efficient,効率［能率］の良い
elderly （失礼な場合olderの形容詞を使う）,年配の
emotional,感情の 感情的な
empty,何も入っていない 空の
engaged,従事している 婚約している
enormous,非常に大きい
entire,全体の …全体
evil,邪悪な 悪の
extra,余分の
extraordinary,普通でない 並はずれた
extreme,極端な
fair,公平な かなりの
FALSE,誤った 偽りの
fat,太った／ 脂肪
favorite,一番好きな 一番好きなもの
female,雌の 女性の／ 雌 女性
financial,財政の 金融の
firm,しっかりした 堅い／ 会社
former,前の／ 前者
friendly,友好的な
fundamental,基本的な 根本的な
gentle,穏やかな やさしい
global,地球の 世界の
harmful,有害な
historical,歴史（上）の
honest,正直な
immediate,即座の
independent,独立した 自立した
intellectual,知的な 知性の
intelligent,知能の高い
internal,内部の
junior,ポストが下の 下級の／ 年下の人
latter,後者の
literary,文学の
medium,中間の
military,軍隊の 軍事の
mysterious,不可解な
narrow,幅が狭い
nearby,近くの
negative,否定の 否定的［悲観的］な
nervous,あがっている 神経質な
nuclear,核の
opposite,反対の／ …と反対側の
patient,我慢強い／ 患者
pleasant,楽しい 気持ちのよい
polite,礼儀正しい
positive,自信のある 肯定的な
potential,潜在的な
previous,前の
primary,最初の 主要な 最優先の
primitive,原始的な
proper,適切な
proud,自慢に思って
rare,まれな
reasonable,理性のある 理にかなった
remarkable,目立った 顕著な
responsible,責任がある
rough,ごつごつした 粗い 大雑把な
rural,田舎の
senior,ポストが上の 上級の／ 年上の人
sensitive,敏感な 神経質な
severe,厳しい
significant,重要な
silly,馬鹿な
slight,かすかな
smart,頭の良い
solid,固い／ 固体
specific,具体的な 特定の
stupid,馬鹿な
sudden,突然の
suitable,適した
superior,より優れた
technical,技術上の 専門的な
terrible,ひどい 不快な
tiny,ごく小さい
tough,頑強な
typical,典型的な
unique,他に類のない 特別な
universal,普遍的な 万国［万人］共通の
