word,remarks
face,顔
clock,置き時計
lion,ライオン
foot,足
gun,鉄砲
hair,髪
dictionary,辞書
computer,コンピュータ
radio,ラジオ
baby,赤ん坊
coin,硬貨
knife,ナイフ
arm,腕
album,アルバム
ship,船
shoe,靴
card,カード
record,レコード
glove,グローブ
animal,動物
hat,帽子
pocket,ポケット
mouth,口
head,頭 先頭
coat,コート
rice,ご飯
nose,鼻
finger,指
meat,肉
shirt,シャツ
bench,ベンチ
eye,目
leg,脚
bath,風呂
train,列車
bicycle,自転車
ball,ボール
building,建物
mouse,はつかねずみ ねずみ
child,子供
chicken,ニワトリ
leaf,葉
money,お金
coffee,コーヒー
dish,"皿， 料理"
paper,"紙， レポート"
ear,耳
bridge,橋
newspaper,新聞
body,身体
farm,農場
market,市場
college,大学
top,頂上
shop,店
corner,かど
center,中央
people,人々
life,"生活， 生命， 人生"
word,言葉
English,英語
voice,声
moon,月
sky,空
sea,海
cloud,雲
wind,風
airport,空港
ground,地面
classroom,教室
museum,博物館
factory,工場
land,"陸地， 土地"
member,会員
last,最後
question,質問
story,話
heart,心
sport,スポーツ
water,水
sun,太陽
tea,お茶
star,星 スター
street,通り
America,アメリカ
road,道
island,島
earth,地球 大地
hill,丘
wife,妻
club,クラブ
game,試合
music,音楽
hobby,趣味
news,ニュース
river,川
light,光（light） 明かり（brightness） 信号（traffic lights）
lake,湖
stone,石
hundred,百
guitar,ギター
potato,じゃがいも
belt,ベルト
vegetable,野菜
song,歌
fun,楽しみ
soccer,サッカー
speech,演説
business,商売
health,健康
idea,考え
advice,忠告
mistake,誤り
feeling,感覚
camp,キャンプ
party,パーティー
million,１００万
tooth,歯
TV,テレビ
duck,あひる
magazine,雑誌
show,ショー
trip,旅行
travel,旅行
police,警察
success,成功
peace,平和
rock,ロック
vacation,休暇
dream,夢
love,愛 愛する人
picnic,ピクニック
lesson,授業 課
thousand,千
photo,写真
textbook,教科書
video,ビデオ
horse,馬
war,戦争
lie,嘘
contest,コンテスト
culture,文化
job,仕事
homeroom,ホームルーム
smile,ほお笑み (ほほ笑み)
happiness,幸福
football,フットボール
hope,希望
test,試験
plan,計画
capital,首都
